,Type,date,distance_bin_100,visitation
107,African,2021-01,5932.854123958005,0.28122634367903104
108,African,2021-01,9887.689675835767,0.17411052233156699
109,African,2021-01,21752.19633146905,0.07267221801665405
110,African,2021-01,33616.70298710233,0.03387585162755488
111,African,2021-02,5932.854123958005,0.2947717518532969
112,African,2021-02,17797.36077959129,0.08095981271946937
113,African,2021-03,5932.854123958005,0.2781840341255332
114,African,2021-03,9887.689675835767,0.1799207800121877
115,African,2021-03,13842.525227713528,0.11791590493601463
116,African,2021-03,21752.19633146905,0.07998171846435101
117,African,2021-03,29661.867435224573,0.03473491773308958
118,African,2021-04,33616.70298710233,0.03647635524798155
119,African,2021-05,21752.19633146905,0.06335149863760219
120,African,2021-05,33616.70298710233,0.03446866485013624
121,African,2021-05,57345.716298368905,0.0111716621253406
