Type,date,visitation,placekey
American,2019-08,49,88
American,2019-08,50,111
American,2019-08,51,90
American,2019-08,52,71
American,2019-08,54,80
American,2019-08,59,49
American,2019-08,60,55
American,2019-08,62,43
American,2019-08,67,32
American,2019-08,69,29
American,2019-08,70,30
American,2019-08,74,25
American,2019-08,75,21
American,2019-08,80,12
American,2019-08,81,26
American,2019-08,84,23
American,2019-08,89,10
American,2019-08,103,6
American,2019-08,116,6
American,2019-08,210,2
American,2019-08,241,2
American,2019-09,2,968880
American,2019-09,3,263191
American,2019-09,4,105577
American,2019-09,5,126987
American,2019-09,6,75898
American,2019-09,7,47816
American,2019-09,8,32179
American,2019-09,9,22678
American,2019-09,10,16635
American,2019-09,11,12539
American,2019-09,12,9496
American,2019-09,13,7748
American,2019-09,14,6319
American,2019-09,15,5014
American,2019-09,16,4018
American,2019-09,17,3404
American,2019-09,18,2893
American,2019-09,19,2426
American,2019-09,20,2015
American,2019-09,21,1894
American,2019-09,22,1558
American,2019-09,23,1407
American,2019-09,24,1171
American,2019-09,25,978
American,2019-09,26,925
American,2019-09,27,823
American,2019-09,28,725
American,2019-09,29,681
American,2019-09,30,571
American,2019-09,31,540
American,2019-09,32,475
American,2019-09,33,402
American,2019-09,34,386
American,2019-09,35,360
American,2019-09,36,325
American,2019-09,37,274
American,2019-09,38,281
American,2019-09,39,230
American,2019-09,40,213
American,2019-09,41,179
American,2019-09,42,169
American,2019-09,43,162
American,2019-09,44,142
American,2019-09,45,146
American,2019-09,46,117
American,2019-09,47,122
American,2019-09,48,100
American,2019-09,49,97
American,2019-09,50,92
American,2019-09,51,84
American,2019-09,54,71
American,2019-09,58,60
American,2019-09,59,50
American,2019-09,63,42
American,2019-09,65,39
American,2019-09,66,35
American,2019-09,68,37
American,2019-09,74,24
American,2019-09,75,22
American,2019-09,80,23
American,2019-09,83,22
American,2019-09,84,11
American,2019-09,88,11
American,2019-09,96,14
American,2019-09,106,9
American,2019-09,127,3
American,2019-09,192,3
American,2019-09,261,1
American,2019-10,2,933606
American,2019-10,3,253412
American,2019-10,4,101760
American,2019-10,5,121531
American,2019-10,6,72418
American,2019-10,7,45970
American,2019-10,8,30888
American,2019-10,9,21680
American,2019-10,10,15681
American,2019-10,11,11721
American,2019-10,12,9129
American,2019-10,13,7255
American,2019-10,14,5717
American,2019-10,15,4806
American,2019-10,16,3903
American,2019-10,17,3244
American,2019-10,18,2765
American,2019-10,19,2318
American,2019-10,20,1965
American,2019-10,21,1676
American,2019-10,22,1434
American,2019-10,23,1248
American,2019-10,24,1128
American,2019-10,25,969
American,2019-10,26,844
American,2019-10,27,758
American,2019-10,28,691
American,2019-10,29,572
American,2019-10,30,516
American,2019-10,31,480
American,2019-10,32,428
American,2019-10,33,352
American,2019-10,34,333
American,2019-10,35,303
American,2019-10,36,293
American,2019-10,37,258
American,2019-10,38,211
American,2019-10,39,205
American,2019-10,40,196
American,2019-10,41,178
American,2019-10,42,167
American,2019-10,43,156
American,2019-10,44,147
American,2019-10,45,142
American,2019-10,46,109
American,2019-10,47,113
American,2019-10,48,96
American,2019-10,49,92
American,2019-10,50,107
American,2019-10,51,74
American,2019-10,52,79
American,2019-10,54,53
American,2019-10,55,59
American,2019-10,56,53
American,2019-10,61,44
American,2019-10,67,18
American,2019-10,73,25
American,2019-10,74,21
American,2019-10,76,22
American,2019-10,79,20
American,2019-10,87,8
American,2019-10,90,12
American,2019-10,97,6
American,2019-10,120,6
American,2019-10,222,2
American,2019-10,236,1
American,2019-11,2,903658
American,2019-11,3,245612
American,2019-11,4,98281
American,2019-11,5,116187
American,2019-11,6,71130
American,2019-11,7,44754
American,2019-11,8,30026
American,2019-11,9,21008
American,2019-11,10,15549
American,2019-11,11,11757
American,2019-11,12,8848
American,2019-11,13,6919
American,2019-11,14,5698
American,2019-11,15,4586
American,2019-11,16,3662
American,2019-11,17,3146
American,2019-11,18,2642
American,2019-11,19,2198
American,2019-11,20,1878
American,2019-11,21,1638
American,2019-11,22,1349
American,2019-11,23,1235
American,2019-11,24,1050
American,2019-11,25,940
American,2019-11,26,829
American,2019-11,27,680
American,2019-11,28,607
American,2019-11,29,538
American,2019-11,30,494
American,2019-11,31,394
American,2019-11,32,402
American,2019-11,33,355
American,2019-11,34,320
American,2019-11,35,315
American,2019-11,36,257
American,2019-11,37,241
American,2019-11,38,199
American,2019-11,39,190
American,2019-11,40,164
American,2019-11,41,169
American,2019-11,42,160
American,2019-11,44,132
American,2019-11,45,111
American,2019-11,46,98
American,2019-11,49,83
American,2019-11,53,68
American,2019-11,57,45
American,2019-11,61,32
American,2019-11,63,37
American,2019-11,66,29
American,2019-11,67,22
American,2019-11,68,21
American,2019-11,74,19
American,2019-11,76,20
American,2019-11,84,11
American,2019-11,88,6
American,2019-11,97,5
American,2019-11,99,8
American,2019-11,100,5
American,2019-11,102,7
American,2019-11,115,2
American,2019-11,215,1
American,2019-11,218,1
American,2019-12,2,952522
American,2019-12,3,258593
American,2019-12,4,104072
American,2019-12,5,125100
American,2019-12,6,75914
American,2019-12,7,48495
American,2019-12,8,32912
American,2019-12,9,23541
American,2019-12,10,17052
American,2019-12,11,13143
American,2019-12,12,10138
American,2019-12,13,8073
American,2019-12,14,6365
American,2019-12,15,5192
American,2019-12,16,4306
American,2019-12,17,3579
American,2019-12,18,3038
American,2019-12,19,2516
American,2019-12,20,2175
American,2019-12,21,1934
American,2019-12,22,1607
American,2019-12,23,1397
American,2019-12,24,1142
American,2019-12,25,994
American,2019-12,26,952
American,2019-12,27,806
American,2019-12,28,723
American,2019-12,29,639
American,2019-12,30,557
American,2019-12,31,559
American,2019-12,32,493
American,2019-12,33,425
American,2019-12,34,384
American,2019-12,35,338
American,2019-12,36,306
American,2019-12,37,312
American,2019-12,38,277
American,2019-12,39,218
American,2019-12,40,195
American,2019-12,41,185
American,2019-12,42,201
American,2019-12,43,153
American,2019-12,44,142
American,2019-12,45,138
American,2019-12,47,130
American,2019-12,48,110
American,2019-12,49,101
American,2019-12,51,98
American,2019-12,52,80
American,2019-12,54,63
American,2019-12,56,56
American,2019-12,58,50
American,2019-12,69,22
American,2019-12,71,26
American,2019-12,80,16
American,2019-12,84,15
American,2019-12,85,19
American,2019-12,107,2
American,2019-12,112,5
American,2019-12,117,4
American,2019-12,118,7
American,2019-12,121,5
American,2019-12,222,1
American,2019-12,243,1
American,2020-01,2,1022063
American,2020-01,3,278822
American,2020-01,4,111536
American,2020-01,5,136785
American,2020-01,6,82851
American,2020-01,7,53390
American,2020-01,8,35831
American,2020-01,9,25741
American,2020-01,10,19059
American,2020-01,11,14324
American,2020-01,12,11141
American,2020-01,13,9131
American,2020-01,14,7199
American,2020-01,15,5762
American,2020-01,16,4846
American,2020-01,17,4131
American,2020-01,18,3444
American,2020-01,19,2865
American,2020-01,20,2491
American,2020-01,21,2081
American,2020-01,22,1773
American,2020-01,23,1511
American,2020-01,24,1348
American,2020-01,25,1196
American,2020-01,26,1042
American,2020-01,27,976
American,2020-01,28,850
American,2020-01,29,799
American,2020-01,30,713
American,2020-01,31,601
American,2020-01,32,547
American,2020-01,33,493
American,2020-01,34,453
American,2020-01,35,394
American,2020-01,36,339
American,2020-01,37,295
American,2020-01,38,295
American,2020-01,39,265
American,2020-01,40,230
American,2020-01,41,252
American,2020-01,42,173
American,2020-01,43,164
American,2020-01,44,202
American,2020-01,46,152
American,2020-01,47,128
American,2020-01,48,130
American,2020-01,49,128
American,2020-01,50,116
American,2020-01,51,103
American,2020-01,52,79
American,2020-01,53,74
American,2020-01,57,63
American,2020-01,58,56
American,2020-01,59,59
American,2020-01,60,61
American,2020-01,63,45
American,2020-01,64,41
American,2020-01,65,52
American,2020-01,70,22
American,2020-01,74,26
American,2020-01,82,19
American,2020-01,88,18
American,2020-01,89,15
American,2020-01,93,10
American,2020-01,100,6
American,2020-01,106,6
American,2020-01,138,4
American,2020-01,255,1
American,2020-01,267,1
American,2020-02,2,945882
American,2020-02,3,256921
American,2020-02,4,102999
American,2020-02,5,125743
American,2020-02,6,76059
American,2020-02,7,48637
American,2020-02,8,32975
American,2020-02,9,23316
American,2020-02,10,17221
American,2020-02,11,13076
American,2020-02,12,9945
American,2020-02,13,7980
American,2020-02,14,6374
American,2020-02,15,5309
American,2020-02,16,4314
American,2020-02,17,3670
American,2020-02,18,3040
American,2020-02,19,2530
American,2020-02,20,2078
American,2020-02,21,1941
American,2020-02,22,1637
American,2020-02,23,1520
American,2020-02,24,1289
American,2020-02,25,1051
American,2020-02,26,925
American,2020-02,27,869
